Data Set 3:Time(s),Data Set 3:615 nm,Data Set 3:525 nm,Data Set 3:465 nm
36.20,63.145317,52.362263,44.841499
36.25,63.145317,52.362263,44.841499
36.30,68.949760,54.940704,47.622364
36.35,68.949760,54.940704,47.622364
36.40,68.422089,55.337391,46.579540
36.45,68.422089,55.337391,46.579540
36.50,68.070297,54.940704,45.884319
36.55,68.070297,54.940704,45.884319
36.60,67.542625,54.345680,46.579540
36.65,67.542625,54.345680,46.579540
36.70,66.487267,54.147335,46.231922
36.75,66.487267,54.147335,46.231922
36.80,66.663162,54.345680,44.841499
36.85,66.663162,54.345680,44.841499
36.90,66.135483,53.750648,45.536705
36.95,66.135483,53.750648,45.536705
37.00,65.783699,53.353973,44.841499
37.05,65.783699,53.353973,44.841499
37.10,65.080132,53.552311,45.189102
37.15,65.080132,53.552311,45.189102
37.20,65.256020,52.758942,45.536705
37.25,65.256020,52.758942,45.536705
37.30,65.431915,52.957287,44.146278
37.35,65.431915,52.957287,44.146278
37.40,64.904243,52.362263,44.841499
37.45,64.904243,52.362263,44.841499
37.50,64.904243,52.362263,44.841499
37.55,64.904243,52.362263,44.841499
37.60,65.080132,52.560600,43.451057
37.65,65.080132,52.560600,43.451057
37.70,65.256020,51.767231,43.798660
37.75,65.256020,51.767231,43.798660
37.80,65.256020,51.767231,43.798660
37.85,65.256020,51.767231,43.798660
37.90,64.728348,52.163918,42.755840
37.95,64.728348,52.163918,42.755840
38.00,64.728348,52.163918,42.755840
38.05,64.728348,52.163918,42.755840
38.10,65.431915,51.965576,42.408237
38.15,65.431915,51.965576,42.408237
38.20,65.256020,51.767231,43.798660
38.25,65.256020,51.767231,43.798660
38.30,65.431915,51.965576,42.408237
38.35,65.431915,51.965576,42.408237
38.40,65.431915,51.965576,42.408237
38.45,65.431915,51.965576,42.408237
38.50,65.256020,51.767231,43.798660
38.55,65.256020,51.767231,43.798660
38.60,65.431915,51.965576,42.408237
38.65,65.431915,51.965576,42.408237
38.70,65.607803,51.172207,42.755840
38.75,65.607803,51.172207,42.755840
38.80,65.607803,51.172207,42.755840
38.85,65.607803,51.172207,42.755840
38.90,65.607803,51.172207,42.755840
38.95,65.607803,51.172207,42.755840
39.00,64.904243,51.370552,43.103455
39.05,64.904243,51.370552,43.103455
39.10,65.607803,51.172207,42.755840
39.15,65.607803,51.172207,42.755840
39.20,64.904243,51.370552,43.103455
39.25,64.904243,51.370552,43.103455
39.30,65.607803,51.172207,42.755840
39.35,65.607803,51.172207,42.755840
39.40,64.904243,51.370552,43.103455
39.45,64.904243,51.370552,43.103455
39.50,65.607803,51.172207,42.755840
39.55,65.607803,51.172207,42.755840
39.60,65.607803,51.172207,42.755840
39.65,65.607803,51.172207,42.755840
39.70,65.607803,51.172207,42.755840
39.75,65.607803,51.172207,42.755840
39.80,65.607803,51.172207,42.755840
39.85,65.607803,51.172207,42.755840
39.90,65.607803,51.172207,42.755840
39.95,65.607803,51.172207,42.755840
40.00,65.607803,51.172207,42.755840
